YEAR,MES,DIA,HORA,MINUTO,Temperatura,Humedad_Relativa,Presion_hPa
2008,1,1,6,0,25.1,97.4,1012.591
2008,1,1,7,0,24.9,97.7,1012.096
2008,1,1,8,0,24.5,97.8,1012.017
2008,1,1,9,0,24.3,97.8,1012.234
2008,1,1,10,0,24.5,97.5,1012.905
2008,1,1,11,0,24.5,97.3,1013.679
2008,1,1,12,0,24.6,97.4,1014.438
2008,1,1,13,0,24.8,97.2,1015.044
2008,1,1,14,0,25.3,96.5,1015.471
2008,1,1,15,0,25.4,96.2,1015.485
2008,1,1,16,0,25.1,96.5,1015.342
2008,1,1,17,0,24.9,96.5,1014.616
2008,1,1,18,0,25.3,96,1013.541
2008,1,1,19,0,25.5,95.8,1012.641
2008,1,1,20,0,25.6,95.7,1012.248
2008,1,1,21,0,25.6,95.8,1011.884
2008,1,1,22,0,25.6,96,1011.869
2008,1,1,23,0,25.6,96,1012.378
2008,1,2,0,0,25.6,96.2,1012.48
2008,1,2,1,0,25.6,96.3,1013.066
2008,1,2,2,0,25.7,96.1,1013.458
2008,1,2,3,0,25.7,96,1013.788
2008,1,2,4,0,25.7,96,1013.662
2008,1,2,5,0,25.5,96,1013.474
2008,1,2,6,0,25.5,95.7,1012.924
2008,1,2,7,0,25.5,95.7,1012.256
2008,1,2,8,0,25.4,95.6,1012.143
2008,1,2,9,0,25.3,95.6,1012.054
2008,1,2,10,0,25.2,96.1,1012.829
2008,1,2,11,0,25.2,96,1012.889
2008,1,2,12,0,24.8,96.7,1013.798
2008,1,2,13,0,24.7,96.5,1014.684
2008,1,2,14,0,24.6,96.6,1015.209
2008,1,2,15,0,24.6,96.8,1015.608
2008,1,2,16,0,24.4,96.9,1014.982
2008,1,2,17,0,24.2,97.3,1014.319
2008,1,2,18,0,24.5,97,1013.212
2008,1,2,19,0,24.7,96.4,1012.33
2008,1,2,20,0,24.7,96.5,1012.032
2008,1,2,21,0,24.8,96.3,1012.173
2008,1,2,22,0,25,96,1012.442
